table,context
"{'column_header': ['born', 'medium', 'nationality'], 'row_number': [1, 1, 1], 'content': ['19 april 1981 hackney, london, united kingdom', 'stand-up, television', 'british']}","fatiha el-ghorri is a british comedian and writer. born in hackney, london, she has been appearing on british television since 2020, including as a cast member of the second series of the dave comedy game show outsiders in 2022. el-ghorri's family are from the town of larache in morocco. she was born in the london borough of hackney, where she grew up as one of thirteen siblings. her father died when she was six years old."
"{'column_header': ['born', 'pen_name', 'occupation', 'language', 'nationality', 'education'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['october 5, 1956 nye, ordu province, turkey', 'parna-beka chilashvili', 'editor, translator, poet, story writer', 'turkish, georgian', 'turkish, georgian', 'journalism']}","fahrettin çiloğlu (born october 5, 1956, ünye, ordu province, turkey), is a turkish writer and translator, whose family emigrated from georgia in the late nineteenth century. in georgian publications and turkish translations, he uses the pen name ფარნა-ბექა ჩილაშვილი (parna-beka chilashvili) and parna-beka çilaşvili."
"{'column_header': ['birth_name', 'born', 'origin', 'genres', 'occupation(s)', 'instruments', 'years_active', 'labels', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['radhames rodriguez', 'october 6, 1992 brooklyn, new york, u.s.', 'brooklyn, new york, u.s.', 'hip hop', 'rappernsongwriternactornmusic video director', 'vocals', '2012present', 'big enough home npaydaynultra', 'radamiz.co']}","radhames rodriguez (born october 6, 1992), better known by his stage name radamiz, is an american rapper from brooklyn, new york. he is of dominican descent. radamiz is a part of the brooklyn-based collective, mogul club. in 2013, he was declared as hot 97's east coast ""who's next"" artist and performed at summer jam on the festival stage later that year."
"{'column_header': ['born', '2016_position', 'best_finish', 'first_race', 'last_race', '2021_position', 'first_win', '2014_position'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['michael wayne annett june 23, 1986 des moines, iowa, u.s.', '36th', '30th', '2008 camping world rv sales 200', '2014 mudsummer classic', '15th', '2019 nascar racing experience 300', '87th']}","michael wayne annett (born june 23, 1986) is an american retired professional stock car racing driver. he last competed in the nascar xfinity series, driving the no. 1 chevrolet camaro for jr motorsports. annett was born in des moines, iowa. his late father harrold was the ceo of tmc transportation, which has sponsored michael's racing efforts. annett played as defenseman for the waterloo black hawks of the united states hockey league prior to starting his racing career. in 2004, he was a member of the team that won clark cup, and he was named ""most improved player"" on a team that included future hockey player joe pavelski. his father used to own a dirt track team which fielded drivers including sammy swindell, before selling up prior to him starting his hockey career. at 5'10"", and 180 lbs, he was considered too small to play at a higher level."
"{'column_header': ['fullxa0name', 'country_represented', 'born', 'discipline', 'level', 'years_on_nationalxa0team', 'head_coach(es)', 'retired'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['mara jos rodrguez barahona', 'spain', '21 march 1958 logroo, spain', 'rhythmic gymnastics', 'international elite', '1974-1976', 'ivanka chakarova', 'yes']}","maría josé rodríguez (born 21 march 1958) is a former spanish rhythmic gymnast. she won a bronze medal at worlds in 1975. on november 24, 1975, at the world championships in madrid, the group won the bronze medal in the all-around, being the first official international medal for the spanish group. the exercise they performed was 3 balls and 3 ropes, and the team was made up of maría josé, leticia herrería, carmen lorca, herminia mata, maría eugenia rodríguez and marilín such, in addition to teresa lópez, mercedes trullols and cathy xaudaró as substitutes. although the start of the competition was initially scheduled for november 20, it had to be delayed due to the death of francisco franco. maria josé retired as a gymnast in 1976."
"{'column_header': ['fullxa0name', 'born', 'website', 'country', 'sport', 'retired'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['charles ryan leveille', 'march 7, 1983 chattanooga, tennessee', 'linkedin.com/in/crleveille', 'united states of america', 'speed skating', '2010']}","charles ryan leveille (born march 7, 1983, in chattanooga, tennessee) is a retired american short track and long track speed skating competitor and is an olympian and world champion medalist (one gold, one silver and one bronze). charles ryan leveille (born march 7, 1983, in chattanooga, tennessee) is a retired american short track and long track speed skating competitor and is an olympian and world champion medalist (one gold, one silver and one bronze). using his recognition and fame from his sport, he accumulated a list of sponsors that included the home depot, mayfield dairy, bluelinx, and bont"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '1980/1987', '1987/1990', 'years', '1990/1994', '1994/2000', '2000/2014', '1997/2013', '2014/2018', '2018'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['sandrine soubeyrand[1]', '16 august 1973', 'saint-agrve, france', '1.73xa0m', 'midfielder', 'boulieu-ls-annonay', 'fc flines saint-cyr', 'team', 'apps', '', 'fc flines saint-cyr', '', '', 'caluire sc']}","soubeyrand began playing at the age of 6 for local club boulieu-lès-annonay in the département of ardèche. at the age of 13, she joined fc félines saint-cyr in saint-cyr where she spent seven years. at the 2008–09 season, despite being 35 years old, soubeyrand appeared in 20 of the club's 22 matches and scored seven goals helping juvisy finish in third, one point shy of qualifying for the newly created uefa women's champions league (re-branding of the uefa women's cup). over the following years she established herself as a capable midfielder, becoming a consistent presence in the french squads, accumulating appearances with the national team and eventually becoming the team's captain. apart from major tournaments, she played in numerous friendlies and smaller international tournaments, such as qualifications for major tournaments, algarve cups and cyprus cups. after 16 years with the national team, soubeyrand retired from international football at the age of 39, on 22 july 2013 after a 1–1 draw with denmark. she played 198 matches (186 in the starting line up and 12 as incoming substitute) and scored 17 goals. major tournaments played includes two fifa women's world cups (2003 and 2011), five uefa women's championships (1997, 2001, 2005, 2009 and 2013) and one olympic games (2012)."
"{'column_header': ['born'], 'row_number': [1], 'content': ['june 13, 1956 malaryta, byelorussian ssr, soviet union']}","leonid arkadevich taranenko (russian: леонид аркадьевич тараненко, born june 13, 1956) is a former soviet/belarusian weightlifter and coach. his 266 kg clean and jerk in 1988 was the heaviest lift in competition for 33 years, until lasha talakhadze exceeded it, lifting 267 at the 2021 world weightlifting championships."
"{'column_header': ['birth_name', 'born', 'genres', 'occupation(s)', 'website'], 'row_number': [1, 1, 1, 1, 1], 'content': ['daniel luke ingram', 'june 13, 1975 vancouver, british columbia, canada', 'film and television scores, musical', 'composer, lyricist', 'daniel ingram on twitter']}","daniel luke ingram (born june 13, 1975) is a canadian composer and lyricist, primarily for animated series soundtracks. he has written more than 200 songs for television, in genres ranging from pop and classic rock to large-scale broadway-style musical theater. his music has been heard in 180 countries. he is mostly known for his work as the songwriter of my little pony: friendship is magic and the films based on the series. he has written over 80 songs for my little pony since 2010. daniel luke ingram (born june 13, 1975) is a canadian composer and lyricist, primarily for animated series soundtracks. he has written more than 200 songs for television, in genres ranging from pop and classic rock to large-scale broadway-style musical theater. his music has been heard in 180 countries. he is mostly known for his work as the songwriter of my little pony: friendship is magic and the films based on the series. he has written over 80 songs for my little pony since 2010."
"{'column_header': ['birthxa0name', 'born', 'height', 'weight', 'sport'], 'row_number': [1, 1, 1, 1, 1], 'content': ['lea terese barta', '15 march 1989 sydney, australia', '172xa0cm', '78xa0kg', 'water polo']}","lea yanitsas (née barta;born 15 march 1989) is an australian water polo player who plays the position of goalkeeper. she was part of the australian team at the 2015, 2017 and 2019 world aquatics championships. yanitsas grew up on sydney's northern beaches. yanitsas is the daughter of a new zealand-born mother and czech father. she is married to andrew yanitsas who she met through water polo and they have one son."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', '', '2004/2005', 'years', '2005/2008', '2006', '2008', '2008/2011', '2010', '2011/2013', '2012/2013', '2013', '2013/2017', '2017/2018', '2018/2020', '2020/2023', '2023'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['philip alexander watt[1]', '10 january 1988', 'rotherham, england', '6xa0ft 1xa0in', 'defender', 'belper town', 'rotherham united', 'lincoln city', 'team', 'apps', 'lincoln city', '1', '', 'grantham town', '2', '', 'grantham town', '7', '', 'corby town', '', '']}","philip alexander watt (born 10 january 1988) is an english footballer who plays for belper town. he previously played in the football league for lincoln city. watt joined lincoln city in 2004 having trained as a youth player with rotherham united. he moved to grantham town on loan in early 2006, before being promoted to the first team squad in july 2006. he soon moved on loan again to grantham for a month, playing ten matches in total for the club. watt joined lincoln city in 2004 having trained as a youth player with rotherham united. he moved to grantham town on loan in early 2006, before being promoted to the first team squad in july 2006. he soon moved on loan again to grantham for a month, playing ten matches in total for the club. in may 2007, he was one of seven players offered a new contract by manager john schofield, being offered a one-year deal. he made his debut for the club in their opening league two game of the 2007-08 season, a 4–0 home defeat to shrewsbury town on 11 august 2007. he also appeared in an fa cup match against nottingham forest later in the season. having been transfer listed by the club's new manager peter jackson on 14 january 2008, he departed the club on 25 february after his contract was cancelled by mutual consent. having been transfer listed by the club's new manager peter jackson on 14 january 2008, he departed the club on 25 february after his contract was cancelled by mutual consent. after leaving lincoln city, he signed for corby town on 26 february 2008. he joined grantham town on an initial month's loan in november 2010, the loan being extended to a second month. in january 2011, corby town agreed to release watt to enable him to join grantham town on a permanent basis. after leaving lincoln city, he signed for corby town on 26 february 2008. he joined grantham town on an initial month's loan in november 2010, the loan being extended to a second month. in january 2011, corby town agreed to release watt to enable him to join grantham town on a permanent basis. after leaving lincoln city, he signed for corby town on 26 february 2008. he joined grantham town on an initial month's loan in november 2010, the loan being extended to a second month. in january 2011, corby town agreed to release watt to enable him to join grantham town on a permanent basis. in january 2013 he joined boston united, reuniting him with his one-time corby town manager graham drury. he made his debut in the club's 2-1 conference north home defeat to harrogate town on 8 january 2013. he made 14 appearances for boston before leaving at the end of the season. in january 2013 he joined boston united, reuniting him with his one-time corby town manager graham drury. he made his debut in the club's 2-1 conference north home defeat to harrogate town on 8 january 2013. he made 14 appearances for boston before leaving at the end of the season. in july 2013, watt signed for coalville town. he made 12 appearances for coalville scoring 3 goals. in july 2013, watt signed for coalville town. he made 12 appearances for coalville scoring 3 goals. on 7 october 2013, watt signed for belper town. on 7 october 2013, watt signed for belper town. in july 2017 watt signed for lincoln united. in may 2018 watt signed for northern premier league side frickley athletic. in may 2023, watt joined belper town following a spell with mickleover."
"{'column_header': ['date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', 'years', '2010', '2011/2016', '2016/2017', '2017', '2018/2019', '2020', '2021'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['february 3, 1989', 'dalian, liaoning, china', '1.78xa0m', 'midfielder', 'dandong tengyue', '10', 'team', 'apps', '', 'liaoning tiger', '?', '', 'harbin yiteng', '65']}","in 2010, zhao wei started his professional footballer career with liaoning tiger in the china league two. in february 2011, xu transferred to china league two side harbin yiteng. in the 2011 china league two campaign he would be part of the team that won the division and promotion into the second tier. he would go on to be a member of the squad as they moved up divisions and gained promotion to the chinese super league. he would eventually make his super league debut for harbin on 13 april 2014 in a game against shanghai shenxin in a 1-0 defeat. in june 2016, zhao transferred to china league two side shenzhen renren. in march 2017, zhao transferred to fellow league two side heilongjiang lava spring on loan. the following season the move would be made permanent. statistics accurate as of match played 31 december 2020."
"{'column_header': ['preceded_by', 'constituency', 'succeeded_by', 'born', 'political_party', 'residence', 'alma_mater', 'occupation', 'committees', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['karen darner', '30th district 39th district', 'alfonso lopez', 'adam paul ebbin november 10, 1963 huntington, new york, u.s.', 'democratic', 'alexandria, virginia', 'american university', 'marketing consultant', 'commerce and labor finance and appropriations general laws and technology chair; privileges and electionstransportation rules', 'adamebbin.com']}","adam paul ebbin (born november 10, 1963) is an american politician who is the senator from the 39th district of the virginia senate since january 2024. a member of the democratic party, he previously represented the 39th senate district from 2012 to 2024 and served in the virginia house of delegates from the 49th district from 2004 to 2012. ebbin serves on five senate committees: finance and appropriations; commerce and labor; privileges & elections; general laws and technology; and the transportation committee. he serves on a number of commissions and interim committees including the task force to commemorate the centennial anniversary of women's right to vote, the joint commission on administrative rules, the northern virginia transportation commission, and the joint subcommittee to evaluate taxation preferences. adam also serves as the vice-chairman of the joint commission on technology and science and as the co-chair of the general assembly gun violence prevention caucus."
"{'column_header': ['born', 'education', 'height', 'weight', 'sport'], 'row_number': [1, 1, 1, 1, 1], 'content': ['november 19, 2002', 'silesian university of technology[1]', '158xa0cm', '68.9 kg', 'powerlifting']}","agata sitko (born november 19, 2002) is a polish heavyweight powerlifter, competing in the ipf. despite being a junior, she has won the world games in 2022 as a heavyweight, the 2024 sbd sheffield powerlifting championships, and has won the ipf world equipped championships in 2021. agata sitko (born november 19, 2002) is a polish heavyweight powerlifter, competing in the ipf. despite being a junior, she has won the world games in 2022 as a heavyweight, the 2024 sbd sheffield powerlifting championships, and has won the ipf world equipped championships in 2021. sitko began competing in powerlifting since 2019, and competed internationally since 2021. she competed in the raw and equipped junior championships, where she won silver in both of the competitions respectively in the 76 kilogram weight class. the same year, sitko competed in the open category despite being 18 years old, and would win gold in the 76 kilogram weight class, and broke two junior world records. in her first powerlifting competition in the 84 kilogram weight class, sitko would break two open world records and three junior world records, and secured first place at the 2022 european junior equipped championships. sitko qualified for the 2022 world games at 19 years old, competing as a heavyweight, and would secure first place. at the 2024 sbd sheffield powerlifting championships, sitko competed in the 69 kilogram weight class for the first time, and would break three open and junior world records. her total world record would extend the previous open world record by 9.3%, and securing first place at the competition."
"{'column_header': ['born', 'otherxa0names', 'department', 'servicexa0years', 'rank', 'badgexa0no.', 'awards', 'otherxa0work'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['november 26, 1967 barranquilla, colombia', 'willwilly', 'port authority police department', '2000/2004', '2000 commissioned as a police officer', '1117', 'port authority police department medal of honor', 'author']}","william j. jimeno (born november 26, 1967) is a colombian-american author and retired port authority of new york and new jersey police department officer who survived the september 11 attacks in 2001. he was buried under the rubble for a total of 13 hours, but survived, along with fellow port authority officer john mcloughlin. he has written two books regarding the experience. william j. jimeno (born november 26, 1967) is a colombian-american author and retired port authority of new york and new jersey police department officer who survived the september 11 attacks in 2001. he was buried under the rubble for a total of 13 hours, but survived, along with fellow port authority officer john mcloughlin. he has written two books regarding the experience. jimeno was born in 1967 in colombia but immigrated to new york city as a boy with his family."
"{'column_header': ['fullxa0name', 'born', 'batting', 'bowling'], 'row_number': [1, 1, 1, 1], 'content': ['amit pramod dani', '30 june 1969bombay, india', 'right-handed', 'right-arm medium']}",amit dani (born 30 june 1973) is an indian first-class cricketer who played for mumbai. he made his first-class debut for mumbai in the 1995–96 ranji trophy on 13 december 1995. this biographical article related to an indian cricket person born in the 1970s is a stub. you can help wikipedia by expanding it.
"{'column_header': ['fullxa0name', 'born', 'height', 'weight', 'position'], 'row_number': [1, 1, 1, 1, 1], 'content': ['james ngutlik', '21 october 2000 [1]kokopo, east new britain province, papua new guinea', '186xa0cm', '96xa0kg', 'wing, centre, fullback']}",jimmy ngutlik (born 21 october 2000) is a papua new guinean professional rugby league footballer who plays as a winger for the western suburbs magpies in the new south wales cup and papua new guinea at international level.
"{'column_header': ['born', 'occupation', 'yearsxa0active', 'parent'], 'row_number': [1, 1, 1, 1], 'content': ['october 15, 1947 beijing, china', 'xiangsheng performer', '1979-present', 'li huilan']}","li was born on 15 october 1947, in beijing. he started to learn the arts of xiangsheng from master zhao zhenduo (赵振铎). at the age of 13, he became an eighth-generation xiangsheng performer. li performed xiangsheng in many areas, such as america, canada, singapore, hongkong and taiwan."
"{'column_header': ['birth_name', 'born', 'ring_name(s)', 'billed_height', 'billed_weight', 'billed_from', 'trained_by', 'debut'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['andrew robert horsefield', 'july 10, 1982 st. louis, missouri, united states', 'andrew pendleton iii', '6xa0ft 0xa0in', '200xa0lb', 'hollywood, california', 'sal rinaurochad parhamazraelslim j', '2006']}","andrew robert horsefield (born july 10, 1982) better known by his ring name andrew pendelton iii, is an american professional wrestler. his gimmick is somewhat based on ""the million dollar man"" ted dibiase from the wwe. pendelton has worked with multiple promotions across the united states including nwa anarchy and deep south wrestling. born in st. louis, missouri, pendelton moved to atlanta, georgia at the age of 5. eventually graduated from roswell high school in 2001 and, began studying teaching and business at georgia perimeter college in atlanta, georgia."
