table,context
"{'column_header': ['born', 'medium', 'nationality'], 'row_number': [1, 1, 1], 'content': ['(1981-04-19) 19 April 1981 (age\xa043)Hackney, London, United Kingdom', 'Stand-up, television', 'British']}","Fatiha El-Ghorri is a British comedian and writer. Born in Hackney, London, she has been appearing on British television since 2020, including as a cast member of the second series of the Dave comedy game show Outsiders in 2022.
El-Ghorri's family are from the town of Larache in Morocco.[1] She was born in the London borough of Hackney, where she grew up as one of thirteen siblings. Her father died when she was six years old.[2]"
"{'column_header': ['born', 'pen_name', 'occupation', 'language', 'nationality', 'education'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['(1956-10-05) October 5, 1956 (age\xa067)Ünye, Ordu Province, Turkey', 'Parna-Beka Chilashvili (Georgian publications)', 'Editor, translator, poet, story writer', 'Turkish, Georgian', 'Turkish, Georgian', 'Journalism']}","Fahrettin Çiloğlu (born October 5, 1956, Ünye, Ordu Province, Turkey), is a  Turkish writer and translator, whose family emigrated from Georgia in the late nineteenth century.
In Georgian publications and Turkish translations, he uses the pen name ფარნა-ბექა ჩილაშვილი (Parna-Beka Chilashvili)[1] and Parna-Beka Çilaşvili.[2]"
"{'column_header': ['birth_name', 'born', 'origin', 'genres', 'occupation(s)', 'instruments', 'years_active', 'labels', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Radhames Rodriguez', '(1992-10-06) October 6, 1992 (age\xa031)Brooklyn, New York, U.S.', 'Brooklyn, New York, U.S.', 'Hip hop', 'Rapper\nsongwriter\nactor\nMusic video director', 'Vocals', '2012–present', 'Big Enough Home (current)\nPayday\nUltra (former)', 'radamiz.co']}","Radhames Rodriguez (born October 6, 1992), better known by his stage name Radamiz, is an American rapper from Brooklyn, New York. He is of Dominican descent. Radamiz is a part of the Brooklyn-based collective, Mogul Club. In 2013, he was declared as HOT 97's East Coast ""Who's Next"" artist and performed at Summer Jam on the festival stage later that year."
"{'column_header': ['born', '2016_position', 'best_finish', 'first_race', 'last_race', '2021_position', 'first_win', '2014_position'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Michael Wayne Annett (1986-06-23) June 23, 1986 (age\xa037)Des Moines, Iowa, U.S.', '36th', '30th (2008)', '2008 Camping World RV Sales 200 (Milwaukee)', '2014 Mudsummer Classic (Eldora)', '15th', '2019 NASCAR Racing Experience 300 (Daytona)', '87th']}","Michael Wayne Annett[1] (born June 23, 1986)[2] is an  American retired professional stock car racing driver. He last competed in the NASCAR Xfinity Series, driving the No. 1 Chevrolet Camaro for JR Motorsports.
Annett was born in Des Moines, Iowa. His late father Harrold was the CEO of TMC Transportation, which has sponsored Michael's racing efforts.[23][24][25] Annett played as defenseman for the Waterloo Black Hawks of the United States Hockey League prior to starting his racing career.[26]  In 2004, he was a member of the team that won Clark Cup, and he was named ""Most Improved Player"" on a team that included future hockey player Joe Pavelski.[27] His father used to own a dirt track team which fielded drivers including Sammy Swindell, before selling up prior to him starting his hockey career.[23][24] At 5'10"", and 180 lbs, he was considered too small to play at a higher level."
"{'column_header': ['full\xa0name', 'country_represented', 'born', 'discipline', 'level', 'years_on_national\xa0team', 'head_coach(es)', 'retired'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['María José Rodríguez Barahona', 'Spain', '(1958-03-21) 21 March 1958 (age\xa066)Logroño, Spain', 'Rhythmic Gymnastics', 'International Elite', '1974-1976', 'Ivanka Chakarova', 'yes']}","María José Rodríguez (born 21 March 1958) is a former Spanish rhythmic gymnast. She won a bronze medal at Worlds in 1975.
On November 24, 1975, at the World Championships in Madrid, the group won the bronze medal in the All-Around, being the first official international medal for the Spanish group. The exercise they performed was 3 balls and 3 ropes, and the team was made up of María José, Leticia Herrería, Carmen Lorca, Herminia Mata, María Eugenia Rodríguez and Marilín Such, in addition to Teresa López, Mercedes Trullols and Cathy Xaudaró as substitutes.  Although the start of the competition was initially scheduled for November 20, it had to be delayed due to the death of Francisco Franco.[2][3][4][5]  Maria José retired as a gymnast in 1976."
"{'column_header': ['full\xa0name', 'born', 'website', 'country', 'sport', 'retired'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Charles Ryan Leveille', '(1983-03-07) March 7, 1983 (age\xa041)Chattanooga, Tennessee', 'linkedin.com/in/crleveille', 'United States of America', 'Speed skating', '2010']}","Charles Ryan Leveille (born March 7, 1983, in Chattanooga, Tennessee) is a retired[4] American short track and long track speed skating competitor and is an Olympian and World Champion medalist (one gold, one silver and one bronze).
Charles Ryan Leveille (born March 7, 1983, in Chattanooga, Tennessee) is a retired[4] American short track and long track speed skating competitor and is an Olympian and World Champion medalist (one gold, one silver and one bronze).
Using his recognition and fame from his sport, he accumulated a list of sponsors that included The Home Depot, Mayfield Dairy, BlueLinx, and Bont"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '1980–1987', '1987–1990', 'years', '1990–1994', '1994–2000', '2000–2014', '1997–2013', '2014–2018', '2018–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Sandrine Soubeyrand[1]', '(1973-08-16) 16 August 1973 (age\xa050)', 'Saint-Agrève, France', '1.73\xa0m (5\xa0ft 8\xa0in)', 'Midfielder', 'Boulieu-lès-Annonay', 'FC Félines Saint-Cyr', 'Team', 'Apps', '(Gls)', 'FC Félines Saint-Cyr', '', '', 'Caluire SC']}","Soubeyrand began playing at the age of 6 for local club Boulieu-lès-Annonay in the département of Ardèche. At the age of 13, she joined FC Félines Saint-Cyr in Saint-Cyr where she spent seven years.[2]
At the 2008–09 season, despite being 35 years old, Soubeyrand appeared in 20 of the club's 22 matches and scored seven goals helping Juvisy finish in third, one point shy of qualifying for the newly created UEFA Women's Champions League (re-branding of the UEFA Women's Cup).
Over the following years she established herself as a capable midfielder, becoming a consistent presence in the French squads, accumulating appearances with the national team and eventually becoming the team's captain. Apart from major tournaments, she played in numerous friendlies and smaller international tournaments, such as qualifications for major tournaments, Algarve Cups and Cyprus Cups.[6][11][12]
After 16 years with the national team, Soubeyrand retired from international football at the age of 39, on 22 July 2013 after a 1–1 draw with Denmark. She played 198 matches (186 in the starting line up and 12 as incoming substitute) and scored 17 goals. Major tournaments played includes two FIFA Women's World Cups (2003 and 2011), five UEFA Women's Championships (1997, 2001, 2005, 2009 and 2013) and one Olympic Games (2012).[6][11][12][14]"
"{'column_header': ['born'], 'row_number': [1], 'content': ['(1956-06-13) June 13, 1956 (age\xa067)Malaryta, Byelorussian SSR, Soviet Union']}","Leonid Arkadevich Taranenko (Russian: Леонид Аркадьевич Тараненко, born June 13, 1956) is a former Soviet/Belarusian weightlifter and coach.[1] His 266 kg clean and jerk in 1988 was the heaviest lift in competition for 33 years, until Lasha Talakhadze exceeded it, lifting 267 at the 2021 World Weightlifting Championships."
"{'column_header': ['birth_name', 'born', 'genres', 'occupation(s)', 'website'], 'row_number': [1, 1, 1, 1, 1], 'content': ['Daniel Luke Ingram', '(1975-06-13) June 13, 1975 (age\xa048)Vancouver, British Columbia, Canada', 'Film and television scores, musical', 'Composer, lyricist', 'Daniel Ingram on Twitter']}","Daniel Luke Ingram (born June 13, 1975) is a Canadian composer and lyricist, primarily for animated series soundtracks. He has written more than 200 songs for television, in genres ranging from pop and classic rock to large-scale Broadway-style musical theater. His music has been heard in 180 countries. He is mostly known for his work as the songwriter of My Little Pony: Friendship Is Magic and the films based on the series. He has written over 80 songs for My Little Pony since 2010.
Daniel Luke Ingram (born June 13, 1975) is a Canadian composer and lyricist, primarily for animated series soundtracks. He has written more than 200 songs for television, in genres ranging from pop and classic rock to large-scale Broadway-style musical theater. His music has been heard in 180 countries. He is mostly known for his work as the songwriter of My Little Pony: Friendship Is Magic and the films based on the series. He has written over 80 songs for My Little Pony since 2010."
"{'column_header': ['birth\xa0name', 'born', 'height', 'weight', 'sport'], 'row_number': [1, 1, 1, 1, 1], 'content': ['Lea Terese Barta', '(1989-03-15) 15 March 1989 (age\xa035)Sydney, Australia', '172\xa0cm (5\xa0ft 8\xa0in)', '78\xa0kg (172\xa0lb)', 'Water polo']}","Lea Yanitsas (née Barta;born 15 March 1989) is an Australian water polo player who plays the position of goalkeeper. She was part of the Australian team at the 2015, 2017 and 2019 World Aquatics Championships.[1]
Yanitsas grew up on Sydney's Northern Beaches.[3] Yanitsas is the daughter of a New Zealand-born mother and Czech father. She is married to Andrew Yanitsas who she met through water polo and they have one son.[4]"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', '', '2004–2005', 'years', '2005–2008', '2006', '2008', '2008–2011', '2010', '2011–2013', '2012–2013', '2013', '2013–2017', '2017–2018', '2018–2020', '2020–2023', '2023–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Philip Alexander Watt[1]', '(1988-01-10) 10 January 1988 (age\xa036)', 'Rotherham, England', '6\xa0ft 1\xa0in (1.85\xa0m)', 'Defender', 'Belper Town', 'Rotherham United', 'Lincoln City', 'Team', 'Apps', 'Lincoln City', '1', '(0)', '→ Grantham Town (loan)', '2', '(0)', '→ Grantham Town (loan)', '7', '(0)', '→ Corby Town (loan)', '', '']}","
Philip Alexander Watt (born 10 January 1988[2]) is an English footballer who plays for Belper Town. He previously played in the Football League for Lincoln City.
Watt joined Lincoln City in 2004 having trained as a youth player with Rotherham United.[3] He moved to Grantham Town on loan in early 2006, before being promoted to the first team squad in July 2006. He soon moved on loan again to Grantham for a month,[4] playing ten matches in total for the club.[5][6]
Watt joined Lincoln City in 2004 having trained as a youth player with Rotherham United.[3] He moved to Grantham Town on loan in early 2006, before being promoted to the first team squad in July 2006. He soon moved on loan again to Grantham for a month,[4] playing ten matches in total for the club.[5][6]
In May 2007, he was one of seven players offered a new contract by manager John Schofield, being offered a one-year deal.[7] He made his debut for the club in their opening League Two game of the 2007-08 season, a 4–0 home defeat to Shrewsbury Town on 11 August 2007.[8] He also appeared in an FA Cup match against Nottingham Forest later in the season.
Having been transfer listed by the club's new manager Peter Jackson on 14 January 2008,[9] he departed the club on 25 February after his contract was cancelled by mutual consent.[10]
Having been transfer listed by the club's new manager Peter Jackson on 14 January 2008,[9] he departed the club on 25 February after his contract was cancelled by mutual consent.[10]
After leaving Lincoln City, he signed for Corby Town on 26 February 2008. He joined Grantham Town on an initial month's loan in November 2010, the loan being extended to a second month.[11] In January 2011, Corby Town agreed to release Watt[12] to enable him to join Grantham Town on a permanent basis.[13]
After leaving Lincoln City, he signed for Corby Town on 26 February 2008. He joined Grantham Town on an initial month's loan in November 2010, the loan being extended to a second month.[11] In January 2011, Corby Town agreed to release Watt[12] to enable him to join Grantham Town on a permanent basis.[13]
After leaving Lincoln City, he signed for Corby Town on 26 February 2008. He joined Grantham Town on an initial month's loan in November 2010, the loan being extended to a second month.[11] In January 2011, Corby Town agreed to release Watt[12] to enable him to join Grantham Town on a permanent basis.[13]
In January 2013 he joined Boston United, reuniting him with his one-time Corby Town manager Graham Drury.[14] He made his debut in the club's 2-1 Conference North home defeat to Harrogate Town on 8 January 2013.[15] He made 14 appearances for Boston[16] before leaving at the end of the season.
In January 2013 he joined Boston United, reuniting him with his one-time Corby Town manager Graham Drury.[14] He made his debut in the club's 2-1 Conference North home defeat to Harrogate Town on 8 January 2013.[15] He made 14 appearances for Boston[16] before leaving at the end of the season.
In July 2013, Watt signed for Coalville Town.[17] He made 12 appearances for Coalville[18] scoring 3 goals.[19]
In July 2013, Watt signed for Coalville Town.[17] He made 12 appearances for Coalville[18] scoring 3 goals.[19]
On 7 October 2013, Watt signed for Belper Town.[20]
On 7 October 2013, Watt signed for Belper Town.[20]
In July 2017 Watt signed for Lincoln United.[21]
In May 2018 Watt signed for Northern Premier League side Frickley Athletic.[22]
In May 2023, Watt joined Belper Town following a spell with Mickleover.[23]"
"{'column_header': ['date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', 'years', '2010', '2011–2016', '2016–2017', '2017', '2018–2019', '2020', '2021–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1989-02-03) February 3, 1989 (age\xa035)', 'Dalian, Liaoning, China', '1.78\xa0m (5\xa0ft 10\xa0in)', 'Midfielder', 'Dandong Tengyue', '10', 'Team', 'Apps', '(Gls)', 'Liaoning Tiger', '?', '(?)', 'Harbin Yiteng', '65']}","In 2010, Zhao Wei started his professional footballer career with Liaoning Tiger in the China League Two.[1] In February 2011, Xu transferred to China League Two side Harbin Yiteng.[2] In the 2011 China League Two campaign he would be part of the team that won the division and promotion into the second tier.[3] He would go on to be a member of the squad as they moved up divisions and gained promotion to the Chinese Super League.[4] He would eventually make his Super league debut for Harbin on 13 April 2014 in a game against Shanghai Shenxin in a 1-0 defeat.[5]
In June 2016, Zhao transferred to China League Two side Shenzhen Renren. In March 2017, Zhao transferred to fellow League Two side Heilongjiang Lava Spring on loan.[6] The following season the move would be made permanent.
Statistics accurate as of match played 31 December 2020.[7]"
"{'column_header': ['preceded_by', 'constituency', 'succeeded_by', 'born', 'political_party', 'residence', 'alma_mater', 'occupation', 'committees', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Karen Darner', '30th District (2012–2024)  39th District (2024–Present)', 'Alfonso Lopez', 'Adam Paul Ebbin (1963-11-10) November 10, 1963 (age\xa060)Huntington, New York, U.S.', 'Democratic', 'Alexandria, Virginia', 'American University', 'Marketing consultant', 'Commerce and Labor  Finance and Appropriations   General Laws and Technology  Chair; Privileges and ElectionsTransportation  Rules', 'adamebbin.com']}","Adam Paul Ebbin (born November 10, 1963) is an American politician who is the senator from the 39th District of the Virginia Senate since January 2024. A member of the Democratic Party, he previously represented the 39th Senate District from 2012 to 2024 and served in the Virginia House of Delegates from the 49th District from 2004 to 2012.
Ebbin serves on five Senate committees: Finance and Appropriations; Commerce and Labor; Privileges & Elections; General Laws and Technology; and the Transportation Committee.[8] He serves on a number of Commissions and interim Committees including the Task Force to Commemorate the Centennial Anniversary of Women's Right to Vote, the Joint Commission on Administrative Rules, the Northern Virginia Transportation Commission, and the Joint Subcommittee to Evaluate Taxation Preferences.[8] Adam also serves as the Vice-Chairman of the Joint Commission on Technology and Science and as the Co-Chair of the General Assembly Gun Violence Prevention Caucus."
